customer_id,age,tenure_months,orders,orders_last_90d,average_order_value,order_value_std,days_since_last_order,support_tickets,support_tickets_last_180d,returns,discount_order_share,newsletter_opens_last_90d,subscription_type,country,acquisition_channel,primary_device,snapshot_date,orders_in_outcome_window,churned,subscription_cancelled_at_export
CUST-003456,42.0,31.2,42,5,79.08,40.85,74.0,2.0,0,2,0.126,3,BASIC,UK,paid_search,mobile,2026-01-01,3,0,0
CUST-008064,47.0,13.4,14,0,40.72,21.75,114.0,6.0,4,1,0.364,6,free,DE,paid_search,mobile,2026-01-01,0,1,1
CUST-011616,32.0,30.0,15,4,47.58,13.5,55.0,6.0,4,3,0.077,1,basic,Spain,paid_search,mobile,2026-01-01,2,0,0
CUST-002678,49.0,31.7,28,9,22.87,5.88,17.0,0.0,0,1,0.004,0,basic,Spain,organic,mobile,2026-01-01,3,0,0
CUST-006795,31.0,26.5,25,0,79.25,25.43,536.0,7.0,3,3,0.357,2,premium,United Kingdom ,affiliate,desktop,2026-01-01,0,1,1
CUST-002743,30.0,18.9,18,4,43.3,18.46,85.0,2.0,0,3,0.545,6,free,United Kingdom,organic,mobile,2026-01-01,1,0,0
CUST-011931,41.0,8.8,8,2,65.58,10.55,61.0,1.0,0,1,0.259,3,basic,Germany,affiliate,mobile,2026-01-01,0,1,0
CUST-004383,42.0,13.3,9,1,26.05,6.66,122.0,0.0,0,2,0.127,4,FREE,United Kingdom,organic,mobile,2026-01-01,1,0,0
CUST-008100,29.0,26.1,10,2,100.04,29.58,23.0,0.0,0,1,0.588,4,free,France,paid_search,desktop,2026-01-01,0,1,0
CUST-000294,60.0,12.6,0,0,,,-1.0,2.0,2,0,,2,free,Poland,paid_search,mobile,2026-01-01,0,1,0
CUST-000750,20.0,6.5,5,2,49.75,18.96,10.0,2.0,2,1,0.01,7,free,Spain,paid_search,mobile,2026-01-01,5,0,0
CUST-011483,39.0,2.0,2,1,60.55,24.86,6.0,1.0,1,0,0.224,6,BASIC,United Kingdom ,paid_search,mobile,2026-01-01,1,0,0
CUST-009518,46.0,3.3,1,1,56.31,0.0,12.0,0.0,0,0,0.66,2,basic,France,affiliate,mobile,2026-01-01,3,0,0
